사번,본부,실,팀,성명,직군,조직상역할,직위,직위연차,직무,최초입사일,생년월일,휴대폰번호_뒷4자리
2692414,경영지원본부,구매지원실,자재구매팀,신지수,일반,팀원,매니저,5,설비구매,2017-08-19,1992-11-14,2907
5867918,경영지원본부,총무지원실,자산관리팀,조주성,일반,팀원,책임매니저,3,업무지원,2017-05-30,1991-09-23,6852
6928377,경영지원본부,인재경영실,컬처디자인팀,신하연,임원,본부장,부사장,4,조직문화,1987-07-29,1973-01-19,0590
6308373,경영지원본부,경영기획실,사업관리팀,문영빈,일반,팀원,매니저,4,사업관리,2009-11-12,2000-08-07,6076
1605810,경영지원본부,경영기획실,경영기획팀,허지성,일반,팀원,책임매니저,1,경영기획,2003-07-14,1975-08-27,9147
5516766,경영지원본부,총무지원실,총무팀,박지민,일반,팀원,매니저,7,자산관리,2010-06-17,1995-01-16,7400
5978353,경영지원본부,구매지원실,구매기획팀,유승빈,일반,팀원,책임매니저,4,자재구매,2004-10-07,1985-09-27,8665
9747853,경영지원본부,구매지원실,자재구매팀,김서혁,일반,팀원,매니저,4,설비구매,2008-06-27,2001-01-12,9400
8230001,경영지원본부,구매지원실,자재구매팀,서민수,일반,팀원,책임매니저,10,구매기획,1998-06-11,1981-04-23,9342
3146504,경영지원본부,총무지원실,자산관리팀,황예호,일반,팀원,매니저,5,업무지원,2020-10-07,1986-12-28,9527
5975810,경영지원본부,경영기획실,경영기획팀,윤하민,일반,팀장,책임매니저,1,경영기획,2011-04-01,1976-06-02,1535
6766560,경영지원본부,구매지원실,자재구매팀,박우빈,일반,팀원,책임매니저,7,설비구매,1999-10-27,1975-05-21,2424
3399487,경영지원본부,인재경영실,컬처디자인팀,송승진,일반,팀원,책임매니저,9,인사운영,2005-07-18,1977-03-15,2009
6507886,경영지원본부,경영기획실,사업관리팀,홍태지,일반,팀장,책임매니저,2,경영기획,2006-12-01,1985-03-22,5112
7529463,경영지원본부,경영기획실,사업관리팀,배하은,일반,팀원,매니저,8,경영기획,2023-02-06,1999-01-07,1434
2585026,경영지원본부,인재경영실,HR기획팀,한준아,일반,팀원,매니저,6,HR기획,2022-11-19,1989-11-07,7604
4190388,경영지원본부,인재경영실,컬처디자인팀,신현우,일반,팀원,매니저,7,인사운영,2014-01-23,1994-01-26,8219
2784905,경영지원본부,구매지원실,구매기획팀,전영혁,일반,팀원,책임매니저,11,설비구매,2016-02-10,1989-01-08,8027
1014927,경영지원본부,재경실,세무팀,양태은,일반,팀장,책임매니저,2,세무,2004-09-10,1973-09-03,3658
1190036,경영지원본부,구매지원실,자재구매팀,서윤혁,일반,팀원,매니저,5,구매기획,2022-06-03,2000-11-23,7246
2523317,경영지원본부,재경실,회계팀,허성현,일반,팀원,매니저,1,회계,2012-07-20,1990-08-12,7111
8384081,경영지원본부,총무지원실,자산관리팀,김영연,일반,팀원,매니저,1,업무지원,2009-12-02,1995-06-15,6375
8556950,경영지원본부,구매지원실,구매기획팀,송재현,일반,팀원,매니저,8,자재구매,2016-12-08,1996-06-24,1500
2643714,경영지원본부,인재경영실,인재개발팀,손영석,일반,팀원,매니저,7,조직문화,2022-09-29,1985-12-19,5999
6317318,경영지원본부,인재경영실,HR기획팀,고서아,일반,팀원,책임매니저,10,HRD,2005-02-23,1987-12-11,4249
4982612,경영지원본부,재경실,세무팀,안상빈,일반,팀원,매니저,4,재무,2010-01-10,1994-08-01,1091
2780733,경영지원본부,구매지원실,자재구매팀,한현호,일반,팀원,매니저,5,구매기획,2017-02-24,1993-09-18,2743
6903305,경영지원본부,총무지원실,업무지원팀,손민혁,일반,팀원,매니저,5,자산관리,2018-09-21,1997-10-04,1241
3503203,경영지원본부,인재경영실,인사운영팀,신수성,임원,본부장,부사장,2,HRD,2002-11-30,1972-06-13,3571
7673124,경영지원본부,총무지원실,자산관리팀,배현은,일반,팀원,매니저,1,자산관리,2014-12-12,1999-12-30,1700
5448651,경영지원본부,경영기획실,사업관리팀,유재호,일반,팀원,책임매니저,5,전략,2020-03-10,1980-09-17,0423
6437357,경영지원본부,경영기획실,전략기획팀,고지혁,일반,팀장,책임매니저,5,경영기획,2005-04-18,1974-11-19,4067
6518370,경영지원본부,인재경영실,HR기획팀,남태지,임원,실장,상무,1,조직문화,2004-05-11,1967-01-27,3145
1592579,경영지원본부,인재경영실,컬처디자인팀,안영윤,일반,팀원,매니저,7,조직문화,2008-02-28,1997-09-18,2406
1803306,경영지원본부,총무지원실,자산관리팀,유예영,일반,팀원,매니저,5,총무,2018-11-14,1992-11-20,3055
9044956,경영지원본부,총무지원실,자산관리팀,박윤석,일반,팀원,책임매니저,2,업무지원,2010-07-02,1977-12-21,8018
9725872,경영지원본부,재경실,회계팀,백태호,일반,팀원,매니저,5,세무,2026-01-23,1984-01-15,2857
7755605,경영지원본부,총무지원실,자산관리팀,손윤민,일반,팀원,책임매니저,12,업무지원,1997-07-12,1977-12-09,6073
4717518,경영지원본부,구매지원실,구매기획팀,고재아,일반,팀원,책임매니저,6,설비구매,2019-03-19,1982-03-31,1735
9099096,경영지원본부,재경실,세무팀,송예석,일반,팀원,책임매니저,6,세무,2006-10-22,1979-04-18,1313
1475337,경영지원본부,인재경영실,컬처디자인팀,오성영,일반,팀원,매니저,7,HRD,2011-05-09,1985-09-20,0215
4946632,경영지원본부,인재경영실,인재개발팀,백준경,임원,실장,상무,3,조직문화,1993-08-13,1976-02-15,6760
2448163,경영지원본부,경영기획실,사업관리팀,문윤성,일반,팀원,매니저,5,사업관리,2023-02-18,1997-11-02,3712
7594564,경영지원본부,구매지원실,설비구매팀,황상성,일반,팀원,매니저,3,설비구매,2009-08-04,1994-04-26,3057
9735876,경영지원본부,구매지원실,구매기획팀,윤윤빈,일반,팀원,매니저,6,자재구매,2013-06-18,1998-08-24,9810
9091346,경영지원본부,인재경영실,HR기획팀,오윤진,일반,팀원,책임매니저,2,인사운영,2005-03-28,1989-04-04,4050
5460419,경영지원본부,재경실,재무팀,유주혁,일반,팀원,매니저,3,세무,2023-04-30,2002-10-09,2166
2743749,경영지원본부,재경실,회계팀,권지은,일반,팀원,매니저,3,재무,2020-06-11,1992-03-18,7868
3804414,경영지원본부,인재경영실,HR기획팀,조우원,일반,팀장,책임매니저,10,HRD,1999-12-20,1974-02-23,6840
7547825,경영지원본부,구매지원실,자재구매팀,신상혁,일반,팀장,책임매니저,6,설비구매,2011-08-05,1972-04-10,4812
8968664,경영지원본부,구매지원실,구매기획팀,심성현,일반,팀장,책임매니저,6,자재구매,2016-08-23,1984-01-15,8561
1321299,경영지원본부,재경실,회계팀,배현준,일반,팀원,매니저,4,회계,2007-02-15,1998-01-19,3195
8177670,경영지원본부,구매지원실,구매기획팀,김현윤,일반,팀원,책임매니저,3,자재구매,1996-01-09,1974-04-12,6480
7481101,경영지원본부,재경실,회계팀,손승민,일반,팀원,매니저,7,재무,2013-01-09,1992-06-17,6676
9227916,경영지원본부,재경실,회계팀,최도성,일반,팀원,매니저,5,재무,2024-02-16,1996-08-28,8425
7191966,경영지원본부,구매지원실,구매기획팀,강서민,일반,팀원,책임매니저,2,자재구매,2011-09-15,1972-09-28,1910
8321989,경영지원본부,인재경영실,HR기획팀,임도민,일반,팀원,책임매니저,6,인사운영,1997-06-25,1974-12-29,0349
1708951,경영지원본부,총무지원실,총무팀,임상윤,일반,팀원,책임매니저,3,업무지원,2008-07-01,1986-07-22,0953
3976884,경영지원본부,인재경영실,HR기획팀,강윤원,일반,팀원,매니저,1,HRD,2024-11-09,1990-03-18,5720
7146903,경영지원본부,인재경영실,HR기획팀,홍도지,일반,팀원,책임매니저,2,인사운영,2020-05-10,1972-12-22,4553
9053147,경영지원본부,구매지원실,설비구매팀,송재빈,일반,팀원,매니저,3,자재구매,2015-11-13,1998-04-04,1333
7089870,경영지원본부,구매지원실,구매기획팀,윤도빈,일반,팀원,매니저,2,자재구매,2014-03-03,2002-08-19,1741
6278862,경영지원본부,구매지원실,자재구매팀,심승우,일반,팀원,책임매니저,9,설비구매,2001-02-12,1986-12-14,0991
9188590,경영지원본부,총무지원실,자산관리팀,임승호,일반,팀원,책임매니저,9,업무지원,2003-06-04,1991-12-02,6708
7015898,경영지원본부,총무지원실,총무팀,장재호,일반,팀원,매니저,5,총무,2022-11-18,1985-07-10,7625
7292700,경영지원본부,구매지원실,구매기획팀,허성지,일반,팀원,매니저,2,설비구매,2013-11-21,1996-04-14,9670
7135822,경영지원본부,총무지원실,자산관리팀,오상경,일반,팀원,매니저,8,업무지원,2012-11-13,1993-10-10,3960
8438545,경영지원본부,구매지원실,구매기획팀,최주지,일반,팀장,책임매니저,6,설비구매,2015-01-14,1978-04-11,0853
6830266,경영지원본부,인재경영실,컬처디자인팀,심승아,일반,팀원,매니저,3,인사운영,2021-08-21,1992-08-31,8613
1986705,경영지원본부,인재경영실,컬처디자인팀,조재윤,일반,팀원,매니저,4,인사운영,2023-09-21,2000-01-10,0506
5937979,경영지원본부,경영기획실,전략기획팀,이민수,일반,팀원,책임매니저,5,사업관리,2016-12-04,1978-07-07,3860
7022705,경영지원본부,경영기획실,경영기획팀,강재희,일반,팀원,매니저,2,전략,2011-08-01,1997-10-23,8940
1785182,경영지원본부,인재경영실,인재개발팀,심도희,일반,팀원,책임매니저,11,인사운영,2010-04-04,1972-01-26,3775
4835812,경영지원본부,경영기획실,전략기획팀,안상희,일반,팀원,책임매니저,1,사업관리,2018-03-14,1975-05-22,5708
7874574,경영지원본부,재경실,세무팀,심성빈,일반,팀원,매니저,5,세무,2018-05-27,1986-05-14,3371
9173777,경영지원본부,구매지원실,자재구매팀,신태영,일반,팀원,책임매니저,1,자재구매,2021-11-09,1975-08-12,5211
1957882,경영지원본부,재경실,회계팀,조상우,일반,팀원,매니저,7,회계,2018-04-18,1993-07-29,3848
5071029,경영지원본부,총무지원실,업무지원팀,임준연,일반,팀원,매니저,4,업무지원,2011-04-26,1998-08-06,8034
1687676,경영지원본부,재경실,회계팀,안상혁,일반,팀원,매니저,1,재무,2021-08-22,2000-06-03,9104
5175750,경영지원본부,구매지원실,설비구매팀,한예민,일반,팀장,책임매니저,7,설비구매,2007-08-07,1987-07-21,2759
1255740,경영지원본부,재경실,세무팀,허수수,일반,팀장,책임매니저,7,회계,2000-07-24,1991-08-10,1176
9943286,경영지원본부,구매지원실,자재구매팀,김태준,일반,팀원,매니저,5,설비구매,2007-12-12,1985-10-15,0553
9861012,경영지원본부,구매지원실,설비구매팀,조하희,임원,본부장,부사장,3,설비구매,2003-10-04,1970-12-01,1265
7948480,경영지원본부,경영기획실,전략기획팀,황우준,일반,팀원,매니저,8,사업관리,2009-04-29,1994-06-12,1937
5523103,경영지원본부,인재경영실,컬처디자인팀,정서윤,임원,본부장,부사장,5,HRD,1999-10-26,1965-06-27,9680
7751380,경영지원본부,재경실,재무팀,신혜빈,일반,팀원,매니저,5,재무,2016-04-20,1996-05-18,5932
4162432,경영지원본부,인재경영실,HR기획팀,손민은,일반,팀원,매니저,2,HR기획,2013-02-22,1994-11-29,5561
6621155,경영지원본부,구매지원실,설비구매팀,권하수,일반,팀원,매니저,2,구매기획,2008-11-08,1985-01-21,2688
6629726,경영지원본부,구매지원실,설비구매팀,정서빈,일반,팀원,매니저,1,구매기획,2015-02-10,1999-01-04,7575
9353307,경영지원본부,경영기획실,전략기획팀,조영진,일반,팀원,매니저,2,전략,2010-01-20,1987-04-09,9211
8778786,경영지원본부,구매지원실,자재구매팀,조성진,일반,팀원,매니저,1,구매기획,2010-01-12,1992-05-17,6028
1634956,경영지원본부,인재경영실,인사운영팀,황수민,일반,팀원,매니저,7,HR기획,2014-06-22,1989-12-10,2387
5791496,경영지원본부,인재경영실,인재개발팀,허도진,일반,팀원,책임매니저,2,HRD,2015-04-23,1990-03-26,1674
2450443,경영지원본부,재경실,재무팀,임승석,일반,팀원,매니저,6,재무,2022-12-09,1991-04-29,3572
4261265,경영지원본부,재경실,세무팀,유상영,일반,팀원,책임매니저,3,회계,2004-02-16,1972-08-07,6929
7001252,경영지원본부,인재경영실,인재개발팀,윤하준,일반,팀원,책임매니저,7,HR기획,2010-04-28,1987-03-19,5887
6313329,경영지원본부,총무지원실,업무지원팀,신우진,일반,팀원,매니저,8,업무지원,2020-11-18,1993-10-20,5124
2879027,경영지원본부,총무지원실,업무지원팀,황수혁,일반,팀원,매니저,8,자산관리,2023-10-02,1991-11-25,7950
6150415,경영지원본부,구매지원실,구매기획팀,송주희,일반,팀원,매니저,6,구매기획,2009-05-11,2001-08-13,5467
5118296,경영지원본부,인재경영실,인사운영팀,유서진,일반,팀원,매니저,8,조직문화,2007-03-01,1986-05-11,4738
1402802,경영지원본부,구매지원실,자재구매팀,김재현,일반,팀원,매니저,7,설비구매,2019-11-25,1985-02-12,8548
1574529,경영지원본부,경영기획실,경영기획팀,남승혁,임원,본부장,부사장,2,사업관리,1993-03-09,1974-10-24,8369
9637153,경영지원본부,구매지원실,자재구매팀,문현경,일반,팀원,매니저,6,자재구매,2015-07-15,1988-05-15,6996
3262546,경영지원본부,총무지원실,자산관리팀,남예수,일반,팀원,매니저,8,총무,2009-11-09,1988-10-17,8067
1219197,경영지원본부,인재경영실,HR기획팀,권우희,일반,팀원,매니저,1,HR기획,2009-04-23,1997-04-12,5493
1712618,경영지원본부,구매지원실,설비구매팀,전주진,일반,팀원,매니저,5,설비구매,2010-07-16,1991-07-21,8258
2888405,경영지원본부,구매지원실,구매기획팀,황주아,일반,팀원,매니저,1,설비구매,2021-07-30,1997-04-21,8446
3921017,경영지원본부,구매지원실,자재구매팀,신영현,일반,팀원,책임매니저,2,구매기획,1995-10-25,1990-08-30,0837
5805777,경영지원본부,구매지원실,설비구매팀,황승수,일반,팀원,매니저,1,구매기획,2026-04-30,1989-09-07,8467
